Comentário,notaPositiva,notaNegativa,Sentimento
"Educar os filhos p respeitar os outros e as diferenças é a melhor maneira de evitar o bullying, minha filha têm 6 anos e sempre conversamos sobre isso, a uns dias atrás veio me falar de uma criança que é especial e até então ela não convivia com crianças especiais na nova escola têm eu expliquei td e disse que Deus fez cada um do seu jeitinho e que devemos respeitar as diferenças de cada pessoa até quando a gente olha um filme se têm algo a respeito a gente discute sobre o assunto, mais tbm ensino ela a me contar se algo ou alguém está encomendando ela sempre digo se acontecer a gente juntas vai tentar resolver sei que nem tds as crianças têm a mesma instrução em casa e ensino a não dar importância p td pq eu disse pra ela que existe pessoas que gostam de te ver triste e se tu não dá importância não vai ter graça te incomodar",3,-3,neutro
Eduardo Oliveira tens razão. Logo estarão culpando a escola e os professores.,1,-3,negativo
"Cada vez que acontece uma tragedia querem discutir sobre tema temos sim que voltar ao passado educar as crianças em casa,ensinar a respeitar o proximo dar mais atençao as crianças conversar mais.",3,-3,neutro
"Hoje é assim "" meu filho tem intolerância à lactose """" no meu tempo bebia leite direto do teto da vaca, ""meu filho sofre bullying"" ,no meu tempo era provocação e apelidos, ""meu filho tem trauma "" , no meu tempo tinha Era serviço, ora bolas o mundo vai de mal a pior.",1,-4,negativo
"Assistência primeiro para quem faz o bullying contra o outro, aí esta a raiz do problema.",1,-2,negativo
"Eu sofri bullying e não matei ou matarei algué por isso. Isso tudo é reflexo de uma sociedade desestruturada na base familiar, falta de valores e espiritualidade.",2,-4,negativo
"O que precisa ser proibido por lei, é o acesso a vídeos violentos no Brasil, assim como é proibido os filmes pornograficos para menores de 18 anos! Estimula a prostituição nas escolas e a culpa é dos pais, estimula a violência nos vídeos games e a culpa é o bullying! Ora para com isso!",1,-4,negativo
"Tem tempo só isso. Não ocupam a cabeça com nada, saem fora da realidade. Passam o dia jogando a os pais não falam nada. Pagam uma fortuna de luz.... Não tem serviço no corpo, não fazem nada!",2,-3,negativo
Procurando justificativas para criminosos ZH ou plantando atenuante?,1,-1,neutro
Deveria ter uma reunião com todos os jovens e falar pra eles que se acontecer qual quer coisa devem ir até alguém na escola e pedir ajuda,1,-3,negativo
"No meu tempo nada disse existia e minguem morreu, isso tudo falta de educacao e descaso dos pais com os filhos",1,-2,negativo
"Infelizmente os educadores não sabem lidar com o bullying, não dão tanta importância.....",1,-3,negativo
"Bullying jamais acabara por que sempre existiriam pessoas com intuído de diminuir os outros por sua aparência por ser careca,cabeludo,gordo ou magro pois muitos acham que pra ser da sociedade é necessário ter um padrão beleza para se enquadrar na sociedade. Da mesma forma que sempre existiria descriminação racial e por opção sexual. É natural do ser humano se achar superior por sua aparência física ainda mais com as vitrines de hj como Facebook e Instagram.",3,-2,positivo
"Existe lei estadual, mas as escolas ignoram essa lei , ao mesmo tempo essa atitude.",1,-3,negativo
E os dois não tinham Deus na suas vidas.,1,-1,neutro
Em alguns casos o professor até ri também emmm,2,-1,positivo
meu cachorro ta sofrendo bullying na rua oq devo faser...,1,-4,negativo
Por educadores? Novamente querendo empurrar um papel da família para a escola. Isso não é responsabilidade de professor. É dever único dos pais e não deve ser compartilhado.,3,-2,positivo
"Foi publicado nos sites que os alunos atiradores eles sofriam bullying e foram expulsos da escola! Os educadores, psicólogos, pedagogia sabem que não se expulsa alunos de escolas, não se castra o futuro de gente jovem, não é possível que os profissionais da educação não tem habilidade para reparar a conduta , comportamento, hábitos! O limite é importante nas escolas! Está na constituição Federal do Brasil 🇧🇷, o direito das crianças estudar, ainda mais quando se toca em escolas públicas!",1,-4,negativo
Ele praticava bullying. Informe-se,1,-1,neutro
Lembrando que o caso de Suzano não tem relação aparente com o assinto.,1,-1,neutro
Assistência social nas escolas.,1,-2,negativo
Exatamente isso sei bem como é isso sofro até hoje,2,-4,negativo
Saudades da minha infância que não tinha nada disso,1,-3,negativo
"Que existe bullying em algumas escolas isto é fato, mas não justifica sair por aí atirando nas pessoas...
As escolas precisam sim ficar mais atentas nisto,dar importância, pq é sério e pode provocar traumas nas crianças e até na adolescência...
É sim algo para ser tratado com mais seriedade, bullying não é engraçado e é crime !!!",2,-4,negativo
https://exatanews.com.br/estadao-pressiona-site-frances-apagar-materia-e-jornalista-jawad-rhalib-confirma-veracidade-da-denuncia-e-acusa-censura-714288,1,-1,neutro
"eU NÃO ENTENDO, REALMENTE NAO ENTENDO..... EU ERA PEQUENA E TINHA VÁRIOS APELIDOS....NA ÉPOCA ERA TUDO BRINACDEIRA.... HJ SAEM MATANDO....E EU NÃO MATEI NINGUÉM...PLAHAÇADA.",1,-2,negativo
"É muito importante que tanto os pais quanto os professores parem de tratar o bullying como ""coisa de criança"", principalmente os pais.",2,-2,neutro
Bullynk e conseguencia da falta de respeito de filhos que aprendem em casa vendo seus pais fazerem,3,-2,positivo
Sofri o q modernamente chamam bullying. Era um horror ir pra escola e nunca senti vontade de matar ninguém.,1,-4,negativo
Na minha época de colegio .a folgacao era sem fim. Folgacao virou bullying. Novos tempos,1,-1,neutro
Dos pais???,1,-1,neutro
"A escola é um ambiente em que um deve respeito com o outro e a escola deveria ter normas e regulamentos a ser seguido, o que a criança faz em casa não pode fazer na escola! Já ouvi de educadores que o aluno trás de casa o caráter de debochar dos colegas, no entanto, a escola deverias deixar bem claro aos pais e alunos: AQUI NÃO! Temos normas e regulamentos a ser seguido e o alunos têm que aceitar a regras, mas as escolas não priorizam a valorização do caráter!",3,-2,positivo
Os processo não estão preparados para lidarem com bullying muito menos ad escolas tem profissionais capacitados pra isso como psicólogo psicopedagoga imaginem que não há profissionais pra atender alunos com autismos incapacidade intelectual que são obrigados a irem para escola para socializar e esses sim sofrem muito bullying imaginem pra lidar com psicopatas isso é tão verdade que na escola não observaram que esse ex aluno tinha problemas e nao encaminharam ele pra atendimento alias nem a familia percebeu que o adolescente estava em crise isso foi um massacre causado pelo descaso da familia com os atiradores da escola por não interromperam o ciclo do bullying do governo por não proporcionar infra-estrutura e segurança e esses dois atiradores de cabeca completamente transtornada,2,-4,negativo
Parece o Murilo na foto Betty Linden,1,-1,neutro
Parabéns pela reportagem!!!,1,-1,neutro
"Não confundam psicopatia e maldade com bullying. O bullying serve de muletas para pessoas q já vem com uma índole ruim. Se tds sofrem bullying tomassem a mesma atitude ou parecida seria uma carnificina por dia. Eu mesma sofri anos de terríveis atos de bullying e hj sou uma pessoa de bem, amo ao meus semelhante, respeito os animais e jamais causaria dor a alguém para amenizar a minha.",3,-4,negativo
"Luto nacional!!!
Agora todos ficam querendo saber o motivo de tanta violência...
Será que no fundo já não sabemos???
Os pais não são mais autoridade para seus filhos;
Os professores não são mais autoridade para seus alunos;
Vivemos dias de liberdade ampla e sem restrições onde tudo é liberado e permitido;
Somente direitos, direitos, direitos, nada de deveres ou cobranças;
Hino ou bandeira é ofensivo, disciplina e hierarquia é tortura; 
Baile funk é cultura, onde jovens usam drogas, fazem sexo na rua, perturbam o sossego das pessoas e o direito de ir e vir, mas se a polícia impedir é repressão;
Jogos de vídeo game onde se ganha ponto roubando ou matando velhinhos ou policiais, e achamos tudo isso legal e normal;
Lei da palmada;
Será que não sabemos mesmo o motivo dessa barbárie???
Ou vamos continuar procurando uma resposta que já está explícita!?",3,-4,negativo
Alexandre Nunes viu so pq temos que falar,1,-3,negativo
"Essa história de bullying a gente faz em casa todo dia....vai comer seu magricela para de comer tanto seu gorducho vai tomar banho seu porquinho. 
Cobrar o educador por isso é só sofrimento para os dois lados.",2,-4,negativo
"Sou educadora, nunca permiti q alunos cometessem bulyng com os colegas...Na minhas aulas, isso não acontece...",1,-2,negativo
Paty Oliveira Paty olha só amiga...,1,-1,neutro
Karolline Silveira Paz Diário de Bordo 😂,1,-1,neutro
Nada justifica o que eles fizeram.,1,-1,neutro
Franciele Severgnini,1,-1,neutro
João Henrique Moraes Vinicius Morelli,1,-1,neutro
"Paulo esgoto, aspirina, chanceler eram amigos meu era apelido hoje em dia isso seria bullying ainda tem o gata cega e o mãe solteira",1,-2,negativo
E facil e so ensinar respeito pro seu filho e a si defender vem si ariar si areia mais ainda pronto,3,-1,positivo
João Pedro Gadini Dahne,1,-1,neutro
Pouco tempo atrás era apelido agora é bullying e ainda sai matando. Bullying não é desculpa para sair matando. Minha opinião.,1,-2,negativo
"No meu tempo o esculacho era resolvido na saída, no soco!
As vezes no tijolo se tivesse uma pilha por perto!😎😎😎😎",2,-2,neutro
"com toda a certeza que deve ser combatida o bullyng. Mais o que aconteceu em São Paulo, não foi bullyng foi terrorismo",1,-3,negativo
Vitima da sociedade.....,1,-1,neutro
Na minha época isso era resolvido na saída ...merthiolate parou de arder deu nisso,2,-2,neutro
"Está ai uma pauta e ""gastos"" bem aplicado na mídia do combate ao bullyng feito pelo MEC!",2,-2,neutro
"Mas segundo o governo professor é folgado e só serve para doutrinar ,agora ainda querem colocar armas nas nossas mãos ,vai entender a gente já é Babá, psicólogo, padre, as vezes pai e mãe e Agora detetive ,fora a pecha de doutrinador do senhor presidente onde a maioria que nem entrou dentro de uma escola só reproduz como ventríloquo transloucado,enfim sempre estamos atentos a imensos problemas dentro da sala de aula , bullying, abusos etc",3,-2,positivo
Bullying...,1,-1,neutro
Que idiotice. Bullying não mata ninguém. Quanta besteira.,1,-3,negativo
"Nada justifica, esse massacre !",1,-2,negativo
"Outros países chamam de TERRORISMO, mas no país do vitimismo fizeram porque sofriam “ bullying “....um “guri “ de 17 anos e um marmanjo de 25...",1,-4,negativo
