created_time,from,message,id,object_link.connections.comments.message
2019-03-13T14:53:46+0000,,atirar em criança e fácil tem que fazer o mesmo com estes covardes aço neles,10159181787214572_10159181949789572,null
2019-03-13T14:49:28+0000,,"Lendo certos comentários a respeito da liberação das armas, pergunto:
Se uma dessas crianças fuziladas e mortas fosse filho de alguém de vcs, o que fariam? Receberiam os assassinos com flores?😠😠",10159181787214572_10159181939609572,null
2019-03-14T08:27:32+0000,,"Inaceitável, lamentável !!!!!!!
Que.o Senhor abençoe os famíliares dos dois lados e que esses assassinos tenham o que merecem e sejam julgados pela justiça do Senhor, que não falha jamais",10159181787214572_10159182851039572,null
2019-03-13T13:50:11+0000,,tava demorando. começou a doença dos americanos. que tragédia aonde vamos parar,10159181787214572_10159181815309572,null
2019-03-13T15:48:32+0000,,Enquanto o exército nao tomar conta do país vai ser assim e cada vez pior ! Nao adianta alterar leis a bandidagem vai ser cada vez mais enquanto nao tiver educação pública !,10159181787214572_10159182071524572,null
2019-03-13T15:44:09+0000,,“Dois assassinos semente do mal” ...,10159181787214572_10159182062244572,null
2019-03-13T13:58:54+0000,,Armas nas mão de cidadão de bem só serve para fazer merda como essa.,10159181787214572_10159181831289572,null
2019-03-13T14:32:05+0000,,"👉👉 E nenhum professor tinha um liquidificador para evitar a tragédia ? 

👉👉 É só fazer arminha com as mãos, talkey ?",10159181787214572_10159181894574572,null
2019-03-13T14:24:27+0000,,Ricardo Abraham,10159181787214572_10159181882129572,null
2019-03-13T14:47:29+0000,,PRESIDENTE BOLSONARO ESTÁ MAIS DO QUE CORRETO QUANDO QUER COLOCAR MILITARES NOS COLÉGIOS PÚBLICOS.,10159181787214572_10159181935029572,Vatomano c
2019-03-13T13:58:20+0000,,Mirian Bittencourt😭,10159181787214572_10159181830399572,null
2019-03-13T15:11:59+0000,,"Atirador????Cade o cr deles???Pelo jeito era bandido e não atirador, pois atirador é licenciado.",10159181787214572_10159181990119572,null
2019-03-13T14:55:52+0000,,,10159181787214572_10159181954259572,null
2019-03-13T15:28:04+0000,,Olha tem que ter policiamento na porta na entrada meu Deus que triste ver crianças perdendo a vida assim,10159181787214572_10159182024479572,null
2019-03-13T13:53:25+0000,,Brasileiro imitando americano até nas merdas....,10159181787214572_10159181820809572,null
2019-03-13T14:52:38+0000,,Vamos ver se irão investigar isso igual ao caso mariely,10159181787214572_10159181947384572,null
2019-03-13T14:24:33+0000,,😭 Mds onde vamos parar com tanta violência,10159181787214572_10159181882174572,null
2019-03-13T14:05:08+0000,,Nossa....o que esta acontecendo este ano? Uma tragédia atrás da outra. Só Deus mesmo,10159181787214572_10159181846429572,null
