created_time,message,id,object_link.connections.comments.message,from
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Ana Claudia de Camargo fica quieta jumenta, vc não sabe o que fala....Bem, esperar o que de uma eleitora do Luladrão",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Ana Claudia de Camargo ao contrário... o governo tirou o direito de defesa...,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Thais Tenello , psicologia de botequim . 
Antes das mãos fazendo arminhas viviamos em um paraíso e os doidos todos bem calminhos .",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Explique Realengo em 2011, sob o governo DILMA e o estatuto do desarmamento então, JUMENTA!",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Ana Claudia de Camargo apaga que da tempo,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Ana Claudia de Camargo larga mão de ser ridícula. 1 que nem está tramitando no congresso a revogação do estatuto, segundo que a violência aumentou exponencialmente durante os governos dos quadrilheiros do pt..... eeeeeee gado 

https://institutoavantebrasil.jusbrasil.com.br/artigos/128099931/violencia-epidemica-nos-governos-fhc-lula-e-dilma/amp",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Leonardo Lobo só pq um macho Bolsominion mandou eu como bela recatada e do lar vou obedecer. Mais alguma coisa meu senhor?,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,La vem.. vai comer capim vai,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Ana Claudia de Camargo na boa fala m ... não até porque o que menos precisa aqui é assunto político acorda vai .......,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Vivíamos no paraíso até final de 2018, não era Alice? Acorda bb...",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Até porque antes do Bolsonaro, nunca acontecia mortes por arma de fogo, não é?",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Pqp quer merda de comentário.,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Ana Claudia de Camargo vale lembrar de Realengo, Minas e Goiânia, onde existia a lei.",
