Comentário,notaPositiva,notaNegativa,Sentimento
Mais um dia sombrio. Como assim foi o dia em que aprovaram a reforma trabalhista. So querem retirar direitos dos pobres e da para os ricos. Cada vez maos o brasil emcamia pra volta da escravidão que o pobre vai ter que trabalho so por um prato de comida. E o povo não acorda pra cobra os nosso direito que foram mais uma vez roubado de nois.,3,-2,positivo
Lamentável. Quem vai se aposentar agora? 40 ANOS DE CONTRIBUIÇÃO,1,-3,negativo
"Agora só falta os pobres soltar foguete,  ESSA reforma tira todos os privilégios dos ricos ,e vai transbordar os pobre de regalias",2,-2,neutro
Os pobres nem sabem o que estão aplaudindo pobres coitados.,1,-2,negativo
Bom,2,-1,positivo
Corja imunda 😤ainda pobre que comemora 🤡,1,-2,negativo
Um sacrifício tão bom que muitos pediram para ficar de fora! Parabéns aos envolvidos!,3,-1,positivo
Não é reforma da previdência. É o fim da aposentadoria.,1,-1,neutro
Pra vc que é a favor da reforma só digo uma coisa parabéns se fudeu .kkk,2,-1,positivo
Fatima Nogueira Vieira 😘👏,1,-1,neutro
Bolsonaro 2022,1,-1,neutro
Wellington Rodrigues,1,-1,neutro
"É muito idiota para pouco Brasil, sofreremos na pele essa alienação de boa parte de nosso povo.",2,-4,negativo
"E só vota no Bozo novamente, essa culpa eu não carrego!.",1,-2,negativo
Pobre comemorando isso é o mesmo que um boi comemorando que vai ser abatido. 😢,1,-2,negativo
Canalhas,1,-2,negativo
