Comentário,notaPositiva,notaNegativa,Sentimento
Estamos ferrados...,1,-2,negativo
Útil e necessário,2,-1,positivo
Lembrem dos deputados que votaram e em 2020 estarão pedindo voto para prefeitura de Belém.,1,-1,neutro
Só vim mostrar que que sou Superfã😍,1,-1,neutro
"LOUCURA 😱 LOUCURA 😱PLANO DE SAÚDE BARATO E DE QUALIDADE POR 109,87$(0 Á 18 ANOS)+informação 99519204 - 99517495 ⭐⭐⭐⭐⭐",1,-2,negativo
Que realmente exista um inferno.,1,-2,negativo
misericórdia senhor intercedei pôr nós 👐,1,-1,neutro
"O povo santo da bancada evangélica, que lutam pela desigualdade,lutam pelo preconceito e lutam pelo odio ( a favor claro  ) parabens seus imbecis.",2,-4,negativo
Parabéns aos deputados,1,-1,neutro
Avante Brasil,1,-1,neutro
"Como sempre os trabalhadores e assalariados pagam pela crise. Ao analisar cada trecho da nova proposta, vejo que quem perde é o trabalhador e o povo. mais pobre.",1,-2,negativo
"No Brasil, o trabalhador só se lasca. Primeiro porque ""naose liga em política"", segundo porque ou não estuda (não pode) ou não gosta de estudar, terceiro porque vende seu voto por qualquer saco de cimento ou 50 reais que apareça. Conclusão: vota errado, colhe os frutos.",3,-2,positivo
Brasil no rumo certo,1,-2,negativo
Pode piorar ou pode melhorar...ser ou não ser...tudo em questão.,2,-1,positivo
Traidores.Pelo menos nosso Edmilson Rodrigues e mais 3 deputados honraram-nos defendendo os trabalhadores até o fim!,1,-1,neutro
Coitados de nois,1,-1,neutro
👏👏💚💛🇧🇷 Grande Dia,3,-1,positivo
"Alguém ainda quer se aposentar ,?",1,-2,negativo
Joga uma bomba,2,-2,neutro
Tá certo,1,-1,neutro
"URUBUS,CARNIÇA, VC ATE PODECHEGAR AOS 65 ANOS,MAS EMPREGADO ,POUQUISSIMOS.",1,-1,neutro
AGORA SERÁ A REFORMA TRIBUTÁRIA. AVANÇA BRASIL!,1,-1,neutro
Muito dinheiro público envolvido nesta aprovação.,1,-1,neutro
Verdade Deus proverá,2,-2,neutro
Eita,1,-1,neutro
Quero saber pq tenho que ficar recebendo a estrela de superfã todos os dias?,3,-1,positivo
Coisa linda,3,-1,positivo
Kkk,2,-1,positivo
Mais um Idaiane Oliveira,1,-1,neutro
Kkkkk,2,-1,positivo
O BRASIL EM CRISE E MILHÕES GASTO NA COMPRA DE VOTOS  DESSA CORJA.PARASITA.TUDO PELO PODER E O POVO POBRE QUE SE LASQUE,1,-2,negativo
EITA,1,-1,neutro
Nova política 🤦🏻‍♂️😂,1,-1,neutro
Parabéns aos envolvidos em mais esse absurdo!,1,-2,negativo
Pelo jeito tamos ferrados infelizmente,1,-3,negativo
Canalhas,1,-2,negativo
